image,psnr,ssim
img_048_SRF_4.png,17.034050226211548,0.5766333341598511
img_049_SRF_4.png,12.48512864112854,0.7156902551651001
img_050_SRF_4.png,21.18250846862793,0.9600644707679749
img_051_SRF_4.png,16.12597346305847,0.7846889495849609
img_052_SRF_4.png,15.331978797912598,0.5440122485160828
img_053_SRF_4.png,23.484227657318115,0.9684954881668091
img_054_SRF_4.png,23.943605422973633,0.9369510412216187
img_055_SRF_4.png,15.950592756271362,0.7575638890266418
img_056_SRF_4.png,14.717804193496704,0.5859199166297913
img_057_SRF_4.png,15.351649522781372,0.7058728933334351
img_058_SRF_4.png,19.00681495666504,0.8415862321853638
img_059_SRF_4.png,23.62528085708618,0.9078704714775085
img_060_SRF_4.png,19.613540172576904,0.8333937525749207
img_061_SRF_4.png,23.157267570495605,0.8529952168464661
img_062_SRF_4.png,18.569326400756836,0.8291366100311279
img_063_SRF_4.png,14.184763431549072,0.7371537089347839
img_064_SRF_4.png,15.4188871383667,0.6298204064369202
img_065_SRF_4.png,16.159063577651978,0.7090553045272827
img_066_SRF_4.png,16.019434928894043,0.8054474592208862
img_067_SRF_4.png,22.089595794677734,0.7843119502067566
img_068_SRF_4.png,11.63379430770874,0.3987083435058594
img_069_SRF_4.png,15.021181106567383,0.8748871088027954
img_070_SRF_4.png,16.469615697860718,0.6146537065505981
img_071_SRF_4.png,19.983229637145996,0.7067679762840271
img_072_SRF_4.png,16.8495512008667,0.7097973227500916
img_073_SRF_4.png,19.26836371421814,0.7232704162597656
img_074_SRF_4.png,16.30357265472412,0.8269226551055908
img_075_SRF_4.png,14.0955650806427,0.7026209235191345
img_076_SRF_4.png,19.28271174430847,0.9005336165428162
img_077_SRF_4.png,17.785673141479492,0.7955112457275391
img_078_SRF_4.png,17.04546332359314,0.8140824437141418
img_079_SRF_4.png,14.453704357147217,0.618554949760437
img_080_SRF_4.png,22.856335639953613,0.8793518543243408
img_081_SRF_4.png,20.920000076293945,0.8409199118614197
img_082_SRF_4.png,20.93196392059326,0.7993535995483398
img_083_SRF_4.png,15.703099966049194,0.7000441551208496
img_084_SRF_4.png,16.083592176437378,0.7107786536216736
img_085_SRF_4.png,14.70406174659729,0.8655436635017395
img_086_SRF_4.png,16.16508722305298,0.6787852048873901
img_087_SRF_4.png,17.53677248954773,0.750789225101471
img_088_SRF_4.png,18.041545152664185,0.7361270189285278
img_089_SRF_4.png,18.081523180007935,0.6291536688804626
img_090_SRF_4.png,18.39777112007141,0.5678432583808899
img_091_SRF_4.png,20.64190149307251,0.8341792821884155
img_092_SRF_4.png,15.969929695129395,0.8394652009010315
img_093_SRF_4.png,19.837889671325684,0.7198775410652161
img_094_SRF_4.png,14.198472499847412,0.6858977675437927
img_095_SRF_4.png,16.035478115081787,0.7012984156608582
img_096_SRF_4.png,18.289960622787476,0.7172665596008301
img_097_SRF_4.png,20.972790718078613,0.7637253999710083
img_098_SRF_4.png,15.068795680999756,0.6636642217636108
img_099_SRF_4.png,15.861085653305054,0.69072425365448
img_100_SRF_4.png,13.787574768066406,0.7860023379325867
